schema,mongo_query,natural_language_query
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""long"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1=Low, 2=Medium, 3=High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""ID of the camera that captured the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person involved""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the person's clothing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance traveled before the event occurred""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""severity_level"": 3})'''",Find all high-severity events with a severity level of 3.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""long"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1=Low, 2=Medium, 3=High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""ID of the camera that captured the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person involved""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the person's clothing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance traveled before the event occurred""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""vehicle_details.license_plate_number"": {""$regex"": ""^MH12""}})'''",Find vehicles with license plates starting with 'MH12'.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""long"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1=Low, 2=Medium, 3=High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""ID of the camera that captured the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person involved""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the person's clothing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance traveled before the event occurred""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""person_details.age"": {""$gt"": 30}})'''",Get details of all persons involved in events with an age greater than 30.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""long"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1=Low, 2=Medium, 3=High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""ID of the camera that captured the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person involved""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the person's clothing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance traveled before the event occurred""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""timestamp"": {""$gt"": 1700005000}, ""severity_level"": {""$gt"": 1}})'''",Retrieve events occurring after the timestamp 1700005000 and with a severity level greater than 1.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""long"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1=Low, 2=Medium, 3=High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""ID of the camera that captured the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person involved""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the person's clothing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance traveled before the event occurred""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""sensor_readings.speed"": {""$gt"": 100}})'''",Find all incidents where vehicle speed exceeded 100 km/h.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""long"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1=Low, 2=Medium, 3=High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""ID of the camera that captured the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person involved""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the person's clothing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance traveled before the event occurred""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""camera_id"": 15, ""severity_level"": {""$gte"": 2}})'''","Retrieve all events recorded by camera_id 15, filtering for medium to high severity levels."
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""long"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1=Low, 2=Medium, 3=High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""ID of the camera that captured the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person involved""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the person's clothing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance traveled before the event occurred""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""timestamp"": {""$gte"": 1700000000, ""$lte"": 1701000000}})'''",Find all events between timestamps 1700000000 and 1701000000.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""long"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1=Low, 2=Medium, 3=High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""ID of the camera that captured the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person involved""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the person's clothing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance traveled before the event occurred""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""sensor_readings.temperature"": {""$gt"": 35.0}, ""incident_type"": ""unauthorized access""})'''",Find all events where the temperature was above 35.0 degrees and the incident type is 'unauthorized access'.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""long"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1=Low, 2=Medium, 3=High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""ID of the camera that captured the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person involved""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the person's clothing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance traveled before the event occurred""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""vehicle_details.color"": ""red"", ""incident_type"": ""accident""})'''",Find all accidents where the vehicle color is 'red' and the incident type is 'accident'.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""long"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Identifier of the camera capturing the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for a matched person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the person's clothing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance covered by the vehicle at the event time""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""sensor_readings.speed"": {""$gt"": 100}})'''",Find all incidents where vehicle speed exceeded 100 km/h.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""long"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Identifier of the camera capturing the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for a matched person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the person's clothing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance covered by the vehicle at the event time""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""sensor_readings.temperature"": {""$lt"": 5}})'''",Find all events where the temperature was below 5 degrees Celsius.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""long"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Identifier of the camera capturing the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for a matched person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the person's clothing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance covered by the vehicle at the event time""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""camera_id"": {""$gte"": 10, ""$lte"": 20}})'''",List all events captured by cameras with IDs between 10 and 20.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""long"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Identifier of the camera capturing the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for a matched person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the person's clothing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance covered by the vehicle at the event time""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""timestamp"": {""$gte"": 1700000000, ""$lte"": 1701000000}})'''",Find all events between 1700000000 and 1701000000.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""long"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Identifier of the camera capturing the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for a matched person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the person's clothing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance covered by the vehicle at the event time""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""vehicle_details.vehicle_type"": ""truck"", ""timestamp"": {""$gte"": 1700000000}})'''",Show all events that involved a truck and were captured after 1700000000.
